"Setting","Pleio_Effect","N_Pleio_SNP","AtoB","PhenoA_Specific_Pct_Genetic","PhenoA_Specific_Pct_Total","PhenoA_Pleio_Pct_Genetic","PhenoA_Pleio_Pct_Total","PhenoA_Env_Pct_Total","PhenoB_Causal_Pct_Genetic","PhenoB_Causal_Pct_Total","PhenoB_Pleio_Pct_Genetic","PhenoB_Pleio_Pct_Total","PhenoB_Specific_Pct_Genetic","PhenoB_Specific_Pct_Total","PhenoB_Env_Pct_Total"
"BothPos",1.5,10,0.1,97.37,19.45,2.91,0.58,80.02,1.43,0.3,7.4,1.58,91.17,18.05,79.89
"BothPos",1.5,10,0.2,98.14,19.89,1.76,0.36,79.73,4.74,1.04,5.88,1.03,89.38,17.92,79.94
"BothPos",1.5,10,0.3,95.92,19.15,4.68,0.93,80.04,8.29,1.62,6.18,1.21,85.53,16.65,80.23
"BothPos",1.5,20,0,88.1,17.58,12.5,2.49,80.05,0,0,15.66,3.06,84.34,16.99,80.12
"BothPos",1.5,20,0.1,90.72,18.02,9.02,1.79,80.13,1.59,0.3,8.62,1.75,89.79,17.73,79.68
"BothPos",1.5,20,0.2,91,18.38,8.93,1.8,79.81,4.69,0.88,13.35,2.6,81.96,16.1,80.17
"BothPos",1.5,20,0.3,87.66,17.5,11.94,2.38,80.03,9.84,2,6.04,1.2,84.12,17.28,80.06
"BothPos",1.5,30,0,85.24,17.14,14.74,2.96,79.89,0,0,14.77,3.12,85.23,17.15,80.2
"BothPos",1.5,30,0.1,89.24,17.95,10.29,2.07,79.89,1.47,0.31,11.7,2.22,86.83,17.11,79.93
"BothPos",1.5,30,0.2,82.56,16.57,16.88,3.39,79.93,5.04,1.02,14,2.76,80.96,16.09,79.82
"BothPos",1.5,30,0.3,86.41,17.21,13.31,2.65,80.08,9.02,1.65,12.92,2.69,78.05,15.56,80.1
"BothPos",1.5,40,0,83.59,16.92,17.19,3.48,79.76,0,0,14.92,2.9,85.08,17.19,79.97
"BothPos",1.5,40,0.1,81.14,16.28,18.04,3.62,79.93,1.96,0.4,22.17,4.32,75.87,15.36,79.9
"BothPos",1.5,40,0.2,83.82,16.69,15.74,3.13,80.09,5.04,0.91,20.53,3.99,74.43,14.42,79.9
"BothPos",1.5,40,0.3,80.85,16.08,19.9,3.96,80.11,8.21,1.65,16.2,3.14,75.59,15.37,79.55
"BothPos",1.5,50,0,80.9,16.22,19.28,3.87,79.95,0,0,23.75,4.72,76.25,15.53,80.27
"BothPos",1.5,50,0.1,80.09,16.28,20.1,4.09,79.67,2.17,0.43,21.49,4.42,76.34,15.49,79.95
"BothPos",1.5,50,0.2,75.08,15.05,24.71,4.95,79.96,5.49,1.11,24.3,4.68,70.21,13.85,80.23
"BothPos",1.5,50,0.3,77,15.22,23.14,4.57,80.24,10.34,2.15,25.87,5.36,63.8,12.15,79.93
"BothPos",2,10,0,87.47,17.66,12.16,2.45,79.82,0,0,10.95,2.14,89.05,17.66,80.14
"BothPos",2,10,0.1,85.73,17.4,14.56,2.95,79.71,1.79,0.32,6.7,1.36,91.51,18.29,80.07
"BothPos",2,10,0.2,89.25,17.81,10.18,2.03,80.05,4.68,0.98,10.04,1.92,85.28,17.25,80.05
"BothPos",2,10,0.3,93.32,18.81,6.09,1.23,79.85,12.33,2.51,7.26,1.55,80.41,15.96,79.84
"BothPos",2,20,0,86.57,17.61,13.15,2.67,79.65,0,0,18.89,4.01,81.11,16.22,79.84
"BothPos",2,20,0.1,90.7,18,9.18,1.82,80.16,1.3,0.29,16.89,3.31,81.81,16.13,80.08
"BothPos",2,20,0.2,82.54,16.54,18.18,3.64,79.96,5.47,0.98,18.95,3.89,75.57,15.05,79.98
"BothPos",2,20,0.3,83.84,16.72,16.45,3.28,80.06,9.15,1.75,10.21,2.12,80.65,16.1,80.13
"BothPos",2,30,0,82.36,16.34,16.75,3.32,80.16,0,0,19.57,3.97,80.43,15.98,79.81
