"Setting","Pleio_Effect","N_Pleio_SNP","AtoB","PhenoA_Specific_Pct_Genetic","PhenoA_Specific_Pct_Total","PhenoA_Pleio_Pct_Genetic","PhenoA_Pleio_Pct_Total","PhenoA_Env_Pct_Total","PhenoB_Causal_Pct_Genetic","PhenoB_Causal_Pct_Total","PhenoB_Pleio_Pct_Genetic","PhenoB_Pleio_Pct_Total","PhenoB_Specific_Pct_Genetic","PhenoB_Specific_Pct_Total","PhenoB_Env_Pct_Total"
"BothPos",1.5,10,0.1,96.25,19.15,3.76,0.75,80.1,1.56,0.34,5.72,1.13,92.72,18.71,79.95
"BothPos",1.5,10,0.2,96.25,19.15,3.76,0.75,80.1,5.5,1.16,5.64,1.11,88.86,17.93,79.97
"BothPos",1.5,10,0.3,96.25,19.15,3.76,0.75,80.1,11.25,2.34,5.44,1.07,83.31,16.8,79.97
"BothPos",1.5,20,0,93.42,18.7,6.91,1.38,79.98,0,0,8.52,1.65,91.48,18.13,80.32
"BothPos",1.5,20,0.1,93.42,18.7,6.91,1.38,79.98,1.72,0.31,8.73,1.69,89.55,17.76,80.3
"BothPos",1.5,20,0.2,93.42,18.7,6.91,1.38,79.98,5.74,1.07,8.72,1.69,85.54,16.98,80.29
"BothPos",1.5,20,0.3,93.42,18.7,6.91,1.38,79.98,11.5,2.18,8.51,1.65,79.99,15.89,80.28
"BothPos",1.5,30,0,87.71,17.72,12.45,2.52,79.8,0,0,14.71,2.77,85.29,17.24,79.97
"BothPos",1.5,30,0.1,87.71,17.72,12.45,2.52,79.8,2.3,0.41,15.22,2.88,82.49,16.7,79.95
"BothPos",1.5,30,0.2,87.71,17.72,12.45,2.52,79.8,6.72,1.25,15.31,2.91,77.96,15.8,79.93
"BothPos",1.5,30,0.3,87.71,17.72,12.45,2.52,79.8,12.66,2.4,15.06,2.86,72.28,14.67,79.91
"BothPos",1.5,40,0,86.93,17.52,13.5,2.72,79.84,0,0,15.33,2.81,84.67,17.06,79.88
"BothPos",1.5,40,0.1,86.93,17.52,13.5,2.72,79.84,2.05,0.42,15.65,2.88,82.3,16.58,79.88
"BothPos",1.5,40,0.2,86.93,17.52,13.5,2.72,79.84,6.33,1.28,15.56,2.87,78.1,15.73,79.89
"BothPos",1.5,40,0.3,86.93,17.52,13.5,2.72,79.84,12.24,2.47,15.13,2.79,72.63,14.63,79.89
"BothPos",1.5,50,0,80.29,15.82,19.22,3.79,80.29,0,0,16.54,3.43,83.46,16.63,80
"BothPos",1.5,50,0.1,80.29,15.82,19.22,3.79,80.29,2.3,0.55,17.03,3.52,80.67,16.04,80.03
"BothPos",1.5,50,0.2,80.29,15.82,19.22,3.79,80.29,6.86,1.54,17.06,3.51,76.08,15.1,80.07
"BothPos",1.5,50,0.3,80.29,15.82,19.22,3.79,80.29,13.03,2.85,16.67,3.43,70.3,13.93,80.1
"BothPos",2,10,0,93.52,18.59,6.49,1.29,80.12,0,0,9.64,1.91,90.36,18.25,79.94
"BothPos",2,10,0.1,93.52,18.59,6.49,1.29,80.12,1.66,0.37,9.73,1.93,88.6,17.89,79.95
"BothPos",2,10,0.2,93.52,18.59,6.49,1.29,80.12,5.64,1.19,9.59,1.9,84.78,17.11,79.96
"BothPos",2,10,0.3,93.52,18.59,6.49,1.29,80.12,11.37,2.37,9.23,1.83,79.4,16.02,79.97
"BothPos",2,20,0,88.75,17.77,11.67,2.34,79.98,0,0,14.17,2.75,85.83,17.02,80.31
"BothPos",2,20,0.1,88.75,17.77,11.67,2.34,79.98,1.97,0.36,14.46,2.82,83.57,16.58,80.3
"BothPos",2,20,0.2,88.75,17.77,11.67,2.34,79.98,6.14,1.15,14.39,2.8,79.47,15.78,80.29
"BothPos",2,20,0.3,88.75,17.77,11.67,2.34,79.98,11.94,2.27,14,2.73,74.06,14.72,80.28
"BothPos",2,30,0,80.01,16.16,20.2,4.08,79.8,0,0,23.43,4.48,76.57,15.5,79.95
"BothPos",2,30,0.1,80.01,16.16,20.2,4.08,79.8,2.83,0.52,23.96,4.59,73.21,14.84,79.93
"BothPos",2,30,0.2,80.01,16.16,20.2,4.08,79.8,7.6,1.43,23.88,4.59,68.52,13.91,79.91
"BothPos",2,30,0.3,80.01,16.16,20.2,4.08,79.8,13.65,2.61,23.31,4.48,63.04,12.81,79.89
"BothPos",2,40,0,78.77,15.88,21.75,4.38,79.84,0,0,24.3,4.55,75.7,15.28,79.85
"BothPos",2,40,0.1,78.77,15.88,21.75,4.38,79.84,2.45,0.49,24.59,4.62,72.96,14.73,79.85
"BothPos",2,40,0.2,78.77,15.88,21.75,4.38,79.84,6.98,1.4,24.27,4.56,68.75,13.88,79.85
"BothPos",2,40,0.3,78.77,15.88,21.75,4.38,79.84,12.97,2.6,23.45,4.41,63.58,12.83,79.86
"BothPos",2,50,0,69.75,13.75,29.68,5.85,80.29,0,0,26.16,5.38,73.84,14.7,80.01
"BothPos",2,50,0.1,69.75,13.75,29.68,5.85,80.29,2.87,0.67,26.61,5.46,70.52,14.01,80.05
"BothPos",2,50,0.2,69.75,13.75,29.68,5.85,80.29,7.89,1.76,26.34,5.39,65.78,13.04,80.08
"BothPos",2,50,0.3,69.75,13.75,29.68,5.85,80.29,14.3,3.11,25.5,5.21,60.21,11.92,80.11
"BothNeg",0.5,10,0,99.24,19.52,0.73,0.14,80.34,0,0,0.3,0.07,99.7,20.24,79.9
"BothNeg",0.5,10,0.1,99.24,19.52,0.73,0.14,80.34,0.94,0.17,0.32,0.07,98.74,20.05,79.89
"BothNeg",0.5,10,0.2,99.24,19.52,0.73,0.14,80.34,3.64,0.7,0.34,0.07,96.02,19.51,79.88
"BothNeg",0.5,10,0.3,99.24,19.52,0.73,0.14,80.34,7.82,1.52,0.35,0.08,91.83,18.67,79.87
"BothNeg",0.5,20,0,99.07,20.16,1.01,0.21,79.65,0,0,1.41,0.31,98.59,19.16,80.06
"BothNeg",0.5,20,0.1,99.07,20.16,1.01,0.21,79.65,0.95,0.16,1.46,0.32,97.59,18.97,80.05
"BothNeg",0.5,20,0.2,99.07,20.16,1.01,0.21,79.65,3.64,0.68,1.49,0.33,94.87,18.44,80.04
"BothNeg",0.5,20,0.3,99.07,20.16,1.01,0.21,79.65,7.81,1.49,1.49,0.33,90.69,17.62,80.03
"BothNeg",0.5,30,0,98.14,19.62,1.76,0.35,80.01,0,0,1.6,0.34,98.4,19.77,80.19
"BothNeg",0.5,30,0.1,98.14,19.62,1.76,0.35,80.01,0.89,0.17,1.67,0.35,97.44,19.58,80.19
"BothNeg",0.5,30,0.2,98.14,19.62,1.76,0.35,80.01,3.55,0.69,1.71,0.36,94.74,19.05,80.19
"BothNeg",0.5,30,0.3,98.14,19.62,1.76,0.35,80.01,7.7,1.5,1.72,0.36,90.58,18.22,80.18
"BothNeg",0.5,40,0,97.11,19.24,2.89,0.57,80.19,0,0,2.19,0.44,97.81,19.51,79.8
"BothNeg",0.5,40,0.1,97.11,19.24,2.89,0.57,80.19,0.95,0.2,2.3,0.47,96.75,19.29,79.8
"BothNeg",0.5,40,0.2,97.11,19.24,2.89,0.57,80.19,3.66,0.76,2.35,0.48,93.99,18.73,79.81
"BothNeg",0.5,40,0.3,97.11,19.24,2.89,0.57,80.19,7.83,1.61,2.37,0.48,89.8,17.89,79.81
"BothNeg",0.5,50,0,96.53,19.21,3.23,0.64,80.09,0,0,3.13,0.65,96.87,19.53,79.61
"BothNeg",0.5,50,0.1,96.53,19.21,3.23,0.64,80.09,1.13,0.23,3.27,0.68,95.6,19.28,79.61
"BothNeg",0.5,50,0.2,96.53,19.21,3.23,0.64,80.09,3.94,0.8,3.35,0.69,92.71,18.69,79.61
"BothNeg",0.5,50,0.3,96.53,19.21,3.23,0.64,80.09,8.15,1.66,3.37,0.69,88.48,17.83,79.61
"BothNeg",1,10,0,97.08,19.1,2.87,0.57,80.33,0,0,1.28,0.27,98.72,20.04,79.9
"BothNeg",1,10,0.1,97.08,19.1,2.87,0.57,80.33,1.01,0.18,1.36,0.29,97.63,19.83,79.89
"BothNeg",1,10,0.2,97.08,19.1,2.87,0.57,80.33,3.79,0.72,1.41,0.3,94.8,19.26,79.88
"BothNeg",1,10,0.3,97.08,19.1,2.87,0.57,80.33,8.05,1.56,1.44,0.3,90.51,18.41,79.87
"BothNeg",1,20,0,96.23,19.6,3.91,0.8,79.64,0,0,5.56,1.16,94.44,18.33,80.07
"BothNeg",1,20,0.1,96.23,19.6,3.91,0.8,79.64,1.1,0.2,5.73,1.2,93.18,18.09,80.06
"BothNeg",1,20,0.2,96.23,19.6,3.91,0.8,79.64,3.9,0.74,5.78,1.21,90.32,17.53,80.06
"BothNeg",1,20,0.3,96.23,19.6,3.91,0.8,79.64,8.11,1.56,5.74,1.2,86.15,16.71,80.05
"BothNeg",1,30,0,93.15,18.63,6.66,1.33,80,0,0,6.35,1.3,93.65,18.82,80.2
"BothNeg",1,30,0.1,93.15,18.63,6.66,1.33,80,1.14,0.22,6.6,1.35,92.26,18.54,80.19
"BothNeg",1,30,0.2,93.15,18.63,6.66,1.33,80,4.01,0.78,6.73,1.37,89.26,17.95,80.19
"BothNeg",1,30,0.3,93.15,18.63,6.66,1.33,80,8.31,1.62,6.73,1.37,84.96,17.1,80.18
"BothNeg",1,40,0,89.36,17.69,10.63,2.11,80.2,0,0,8.38,1.7,91.62,18.26,79.8
"BothNeg",1,40,0.1,89.36,17.69,10.63,2.11,80.2,1.27,0.27,8.67,1.75,90.06,17.95,79.81
"BothNeg",1,40,0.2,89.36,17.69,10.63,2.11,80.2,4.26,0.88,8.79,1.78,86.95,17.32,79.81
"BothNeg",1,40,0.3,89.36,17.69,10.63,2.11,80.2,8.66,1.78,8.74,1.77,82.6,16.44,79.82
"BothNeg",1,50,0,87.81,17.48,11.75,2.34,80.09,0,0,11.9,2.44,88.1,17.75,79.62
"BothNeg",1,50,0.1,87.81,17.48,11.75,2.34,80.09,1.55,0.31,12.28,2.52,86.18,17.36,79.62
"BothNeg",1,50,0.2,87.81,17.48,11.75,2.34,80.09,4.71,0.96,12.42,2.55,82.87,16.69,79.62
"BothNeg",1,50,0.3,87.81,17.48,11.75,2.34,80.09,9.15,1.86,12.35,2.53,78.5,15.8,79.62
"BothNeg",1.5,10,0,93.69,18.44,6.24,1.23,80.32,0,0,2.91,0.6,97.09,19.71,79.9
"BothNeg",1.5,10,0.1,93.69,18.44,6.24,1.23,80.32,1.12,0.2,3.07,0.64,95.8,19.46,79.89
"BothNeg",1.5,10,0.2,93.69,18.44,6.24,1.23,80.32,4.03,0.77,3.17,0.66,92.79,18.86,79.88
"BothNeg",1.5,10,0.3,93.69,18.44,6.24,1.23,80.32,8.42,1.63,3.21,0.66,88.37,17.97,79.87
"BothNeg",1.5,20,0,91.8,18.7,8.4,1.71,79.63,0,0,11.8,2.43,88.2,17.08,80.09
